;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;All;Live;Music;Deep House;Sertanejo music;Playlists;Brazilian Music;Albums;Contemporary Worship Music;Gaming;Animated films;Dramedy;Comedy;Guitar;Recently uploaded;;;;;;
1;All;Live;Music;Kygo;Gaming;Sertanejo music;Playlists;Brazilian Music;Albums;Anderson Freire;Jazz;Acoustic Guitar;Hymn;Animated films;Indie Music;Minecraft Bedrock;Comedy;Classical Music;New-Age Music;Children's Music;Recently uploaded
2;All;Music;Live;Playlists;Kygo;Sertanejo music;Brazilian Music;Hymn;Gaming;Indie Music;Animated films;Classical Music;Comedy;Freestyle Rap;Minigame;Minecraft Bedrock;Children's Music;Lessons;Platform games;Recently uploaded;
3;All;Live;Music;Sertanejo music;Brazilian Music;Gaming;Deep House;Playlists;Soft Rock;Albums;Contemporary Worship Music;Animated films;Dramedy;Indie Music;Classical Music;Action-adventure games;Rapping;Recently uploaded;;;
4;All;Music;Live;Sertanejo music;Kygo;Brazilian Music;Playlists;Gaming;Hymn;Animated films;New-Age Music;Indie Music;Comedy;Classical Music;Podcasts;Action-adventure games;Lessons;Recently uploaded;;;
5;All;Live;Music;Deep House;Anderson Freire;Contemporary Worship Music;Hymn;Música Popular Brasileira;Sertanejo music;Playlists;Samba;Classic Rock;Gaming;Hard Rock;Blues music;Piano;Pop Rock;Animated films;Comedy;Children's Music;Recently uploaded
6;All;Live;Music;Sertanejo music;Playlists;Kygo;Brazilian Music;Soul Music;Gaming;Anderson Freire;Hard Rock;Background music;Animated films;Piano;Comedy;Children's Music;Action-adventure games;Recently uploaded;;;
7;All;Live;Music;Kygo;Sertanejo music;Brazilian Music;Gaming;Playlists;Anderson Freire;Animated films;Blues music;Comedy;Indie Music;Copa Libertadores;Debates;Minecraft Bedrock;Action-adventure games;Lessons;Rapping;Cars;Recently uploaded
8;All;Music;Live;Playlists;Deep House;Sertanejo music;Brazilian Music;Gaming;Contemporary Worship Music;Hard Rock;Indie Music;Dramedy;Classical Music;Comedy;Action-adventure games;Recently uploaded;;;;;
9;All;Live;Music;Deep House;Sertanejo music;Contemporary Worship Music;Brazilian Music;Playlists;Gaming;Indie Music;Rock Music;Comedy;Minecraft;Recently uploaded;;;;;;;
