;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
0;Tudo;Ao vivo;Música;Jogos;Comédia;Felipe Neto;Música de Natal;Música brasileira;Sombra;Música infantil;Videogames de esportes;Minecraft;Enviados recentemente;;;;;;;
1;Tudo;Ao vivo;Música;Henrique & Juliano;Jogos;Forró;Lista de reprodução;Música brasileira;Soft Rock;Animação;Comédia;Contemporary worship music;Música clássica;Sombra;Violão;Jogo de ação e aventura;Enviados recentemente;;;
2;Tudo;Música;Ao vivo;Jogos;Lista de reprodução;Música sertaneja;Sombra;Soft Rock;Deep House;Música brasileira;Comédia;Música infantil;Música clássica;Soul Music;Violão;Natureza;Jogo de ação e aventura;Enviados recentemente;;
3;Tudo;Ao vivo;Música;Lista de reprodução;Música sertaneja;Jogos;Álbuns;Música brasileira;Soft Rock;Contemporary worship music;Música clássica;Sombra;Violão;Filmes de comédia;Jogo de ação e aventura;Aulas;Enviados recentemente;;;
4;Tudo;Ao vivo;Música;Música sertaneja;Lista de reprodução;Música brasileira;Jogos;Álbuns;Soft Rock;Comédia;Música clássica;Música indie;Sombra;Violão;Jogo de ação e aventura;Enviados recentemente;;;;
5;Tudo;Ao vivo;Música;Jogos;Copa Libertadores da América;Música sertaneja;Debates;Música brasileira;Sombra;Eletrônicos de consumo;Jogo de ação e aventura;Música pop;Filmes de comédia;Aulas;Enviados recentemente;;;;;
6;Tudo;Jogos;Música;Ao vivo;Música sertaneja;Sombra;Lista de reprodução;Álbuns;Programas de jogos;Comédia;Vida selvagem;Música brasileira;Gadgets;Destinos turísticos;Jogo de ação e aventura;Rock;Violão;Música asiática;Conversas;Enviados recentemente
7;Tudo;Ao vivo;Música;Jogos;Música brasileira;Sombra;Música infantil;Enviados recentemente;;;;;;;;;;;;
8;Tudo;Ao vivo;Música;Álbuns de maiores sucessos / Álbuns de grandes sucessos;Jogos;Lista de reprodução;Música sertaneja;Música brasileira;Hard rock;Blues;Comédia/dramas;Música indie;Música New Age;Música clássica;Sombra;Natureza;Filmes de comédia;Jogo de ação e aventura;Enviados recentemente;
9;Tudo;Música;Ao vivo;Jogos;Música sertaneja;Copa Libertadores da América;Lista de reprodução;Sombra;Música brasileira;Deep House;Animação;Música infantil;Minecraft Bedrock;Jogo de ação e aventura;Rock;Filmes de comédia;Enviados recentemente;;;
