;0;1;2;3;4;5;6;7;8;9;10;11
0;すべて;ライブ;音楽;ゲーム;野球;料理;アニメーション;アクション＆アドベンチャー ゲーム;工芸品;ペット;最近アップロードされた動画;
1;すべて;ライブ;音楽;ゲーム;野球;キャラクター アニメ、子供向けアニメ;料理;ペット;アクション＆アドベンチャー ゲーム;工芸品;最近アップロードされた動画;
2;すべて;ライブ;音楽;ゲーム;野球;料理番組;料理;アニメーション;アクション＆アドベンチャー ゲーム;ペット;工芸品;最近アップロードされた動画
3;すべて;ライブ;音楽;ゲーム;野球;料理番組;料理;アクション＆アドベンチャー ゲーム;アニメーション;ペット;工芸品;最近アップロードされた動画
4;すべて;音楽;ライブ;ゲーム;野球;料理;キャラクター アニメ、子供向けアニメ;ペット;アクション＆アドベンチャー ゲーム;工芸品;最近アップロードされた動画;
5;すべて;ライブ;音楽;野球;ゲーム;料理番組;料理;アニメーション;ペット;アクション＆アドベンチャー ゲーム;工芸品;最近アップロードされた動画
6;すべて;ライブ;ゲーム;音楽;野球;Minecraft;アニメーション;料理;ペット;最近アップロードされた動画;;
7;すべて;ライブ;音楽;ゲーム;野球;料理;キャラクター アニメ、子供向けアニメ;アクション＆アドベンチャー ゲーム;最近アップロードされた動画;;;
8;すべて;ライブ;音楽;ゲーム;料理番組;野球;アニメーション;料理;アクション＆アドベンチャー ゲーム;ペット;工芸品;最近アップロードされた動画
9;すべて;ライブ;ゲーム;音楽;野球;料理番組;アクション＆アドベンチャー ゲーム;アニメーション;ペット;最近アップロードされた動画;;
